trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.3, 'e': 0.20392561173421342}",20,8,-0.17277538056799102,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.20189651799465538}",20,13,2.2132537176498777,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.1998876140751445}",30,19,4.9906915730703805,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.3, 'e': 0.19789869908361465}",20,13,10.495226317478114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.19592957412690934}",20,16,10.439876793232722,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.19398004229089189}",25,16,16.91142187225408,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.19204990862075408}",30,17,21.07571369232952,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.1901389801015205}",20,15,10.418230285615406,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.1882470656387468}",30,17,-19.065349649154033,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.18637397603940997}",25,14,21.848396850586116,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.18451952399298926}",25,7,-11.081210457666492,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.3, 'e': 0.18268352405273466}",20,11,17.980093845782562,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.1808657926171221}",25,10,18.91398165329665,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.17906614791149322}",20,14,9.601594415672814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.17728440996987782}",25,17,10.735232291306545,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.17552040061699686}",20,4,2.8915403707051817,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.17377394345044514}",35,19,8.295714420080333,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.17204486382305054}",25,13,21.690464351659642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.17033298882540943}",20,6,-10.860050671794088,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.1686381472685955}",20,12,16.149610915458656,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.1669601696670407}",20,6,-11.062300645575561,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.16529888822158653}",20,10,19.38899043970069,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.16365413680270405}",20,12,10.647427951951697,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.16202575093388075}",30,17,-58.4171939492978,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
